cellnumber,    x-coordinate,    y-coordinate,    z-coordinate,absolute-pressure,      x-velocity,      y-velocity,      z-velocity
    142591, 3.076296416E-04,-8.052820340E-04,-1.865783334E-02, 2.015521094E+04,-8.128750920E-01, 1.284113765E+00, 3.258670330E+00
    142592,-9.113566577E-02,-9.954930842E-02, 3.155016154E-02,-4.933800000E+04, 1.388038874E+00,-4.730905294E-01, 4.056689739E+00
    142593,-9.031398594E-02,-9.989829361E-02, 3.107897379E-02,-5.174946875E+04, 1.493661046E+00,-6.060116291E-01, 4.227368355E+00
    142594,-1.459799707E-01,-4.861213267E-02,-4.184081033E-02, 6.731640625E+03,-5.017822981E-01, 1.464613080E+00, 3.664011240E+00
    142595,-1.126945987E-01,-8.406649530E-02, 2.232683636E-02,-5.092553125E+04, 1.250127435E+00,-1.379896045E+00, 4.526446819E+00
    142596,-1.251041293E-01,-9.804789722E-02,-4.495023564E-02, 3.058685156E+04, 1.160102785E-01,-1.276805550E-01, 3.331554174E+00
    142597,-1.144420169E-02, 1.293929107E-02, 6.545060873E-02,-2.957071875E+04,-9.456235766E-01, 1.039089322E+00, 2.454651147E-01
    142598,-1.206608713E-01,-1.006404907E-01, 5.667266250E-02,-3.985035938E+04, 9.232576489E-01,-8.276318312E-01, 4.099519849E-01
    142599,-9.325849824E-03, 1.080023311E-02, 6.558576226E-02,-2.944147656E+04,-8.741029501E-01, 1.100450039E+00, 4.990789592E-01
    142600,-5.918353423E-02,-1.214187369E-01, 6.490352005E-02,-2.464153906E+04, 2.123033047E+00, 1.519784331E-01, 2.129679918E+00
    142601,-3.592402115E-02,-1.168622747E-01, 2.523005754E-02,-4.650176563E+04, 1.829484940E+00, 7.304188609E-01, 4.595133305E+00
    142602,-1.171964556E-01,-7.837178558E-02, 2.975165099E-02,-6.187346875E+04,-5.906659961E-01, 9.314048886E-01,-1.404223919E+00
    142603,-6.221374124E-02,-1.216869056E-01, 6.497767568E-02,-2.249726563E+04, 2.229219198E+00, 6.256244145E-03, 2.578838825E+00
    142604,-7.113527041E-03,-3.294454142E-02,-1.269006170E-02,-5.365651563E+04,-3.440873325E-01, 1.644812584E+00, 2.776198626E+00
    142605,-3.903043270E-02,-1.177525669E-01, 5.824091658E-02,-3.409857813E+04, 6.381748617E-02, 8.694493771E-02,-5.059732795E-01
    142606, 7.417306304E-03,-7.200397551E-02, 2.992960252E-02,-6.128242188E+04, 4.571580887E-02, 1.371693760E-01,-3.122032434E-02
    142607,-1.176575422E-01,-1.048978269E-01, 1.881645434E-02,-3.587832813E+04, 1.418738723E+00,-1.214750528E+00, 4.420831203E+00
    142608,-9.158082306E-02,-9.931420535E-02,-6.295272149E-03,-4.966932813E+04, 1.726838231E+00,-7.678287625E-01, 4.124498367E+00
    142609,-9.193409234E-02,-9.915680438E-02,-6.888072938E-03,-5.140225000E+04, 1.815273643E+00,-7.626066804E-01, 4.046703815E+00
    142610,-3.621527925E-02, 8.956037462E-03,-3.075610474E-02,-6.016167188E+04,-1.164591312E+00,-3.703790605E-01, 4.230085373E+00
    142611,-1.060781348E-02,-6.644411385E-02,-7.656014524E-03,-9.099085938E+03, 5.940250754E-01, 1.739461422E+00, 3.496711254E+00
    142612,-1.092102844E-02,-6.721033901E-02,-7.942236960E-03,-4.093593750E+03, 6.279743910E-01, 1.574963570E+00, 3.403629065E+00
    142613,-1.207597703E-01,-1.446727011E-02,-1.945527270E-02, 2.062385938E+04,-6.630830765E-01,-1.281776667E+00, 3.449950695E+00
    142614,-1.206699610E-01,-1.429988258E-02,-2.049553022E-02, 2.239578906E+04,-5.429853797E-01,-1.346579075E+00, 3.265947342E+00
    142615,-1.065103989E-02,-6.655229628E-02,-6.066550501E-03,-1.187108594E+04, 7.702295780E-01, 1.811078072E+00, 3.740215302E+00
    142616,-1.100671478E-02,-6.740959734E-02,-5.911609158E-03,-1.098191406E+04, 7.424410582E-01, 1.848449111E+00, 3.434864759E+00
    142617,-9.256026149E-02,-9.886755049E-02,-6.933419500E-03,-4.963203125E+04, 1.811215520E+00,-7.933940291E-01, 4.276975632E+00
    142618,-1.196959093E-01,-1.259926148E-02,-1.961132884E-02, 2.277321094E+04,-6.522349119E-01,-1.383443713E+00, 3.065248728E+00
